name,funding_total_usd,country_code,city,funding_rounds,first_funding_at,last_funding_at,founded_year,status_class,main_category,funding_total_category
MoviePass,3700000.0,USA,New York,2,2011-02-23,2014-09-26,2011,1,Entertainment,1
Near,25500000.0,SGP,Singapore,2,2012-11-28,2014-10-15,2012,1,Advertising,1
TurnTide,750000.0,GBR,Rochester,1,2003-01-01,2003-01-01,2012,2,Security,0
Dogetipbot,500000.0,USA,Arcata,1,2014-11-05,2014-11-05,2014,1,Bitcoin,0
Shootitlive,311203.0,SWE,Stockholm,1,2011-02-02,2011-02-02,2008,1,News,0
Stereobot,360000.0,USA,Los Angeles,1,2013-01-28,2013-01-28,2012,1,Software,0
Magoosh,,USA,Berkeley,1,2011-02-14,2011-02-14,2009,1,Certification Test,3
Summit Wine Tastings,45000.0,USA,Chicago,1,2013-10-21,2013-10-21,2013,1,Public Relations,0
Instabug,300000.0,EGY,Gizah,1,2013-12-01,2013-12-01,2013,1,iOS,0
Affinity Circles,5540000.0,USA,Sunnyvale,3,2004-12-01,2006-05-01,2002,1,Alumni,1
Reliance Jio Infocomm Ltd.,3000000000.0,IND,Mumbai,3,2014-09-25,2015-05-13,2007,1,Development Platforms,2
Bueno,65885.0,BGR,Sofia,2,2013-05-01,2013-09-01,2013,1,Curated Web,0
CAVI Int. GmbH,,USA,San Francisco,1,2009-12-03,2009-12-03,2012,1,Software,3
Unicotrip,20000.0,ARG,Buenos Aires,1,2013-11-19,2013-11-19,2011,1,Travel,0
VetCloud,969471.0,GBR,London,6,2013-01-01,2015-01-01,2012,1,Cloud Computing,0
Bay State Surgical Services,210000.0,USA,Tucson,2,2015-06-02,2015-06-02,2009,1,Biotechnology,0
GeoLearning,31000000.0,USA,West Des Moines,1,2008-02-26,2008-02-26,2012,2,Education,1
Tunity,1100000.0,USA,New York,1,2014-05-01,2014-05-01,2014,1,Apps,1
Wizzard Software,600000.0,USA,Pittsburgh,1,2009-06-22,2009-06-22,1995,1,Software,0
Meducation,41347.0,USA,San Francisco,1,2014-01-01,2014-01-01,2008,1,Education,0
Desafío Táctico,,USA,San Francisco,1,2013-08-02,2013-08-02,2012,1,Software,3
Anaplan,144400000.0,USA,San Francisco,3,2012-01-19,2014-05-13,2006,1,Cloud Computing,2
FriendsClear,637416.0,FRA,Paris,1,2010-06-15,2010-06-15,2007,1,Crowdfunding,0
Stash,1500000.0,USA,New York,1,2015-08-12,2015-08-12,2015,1,Financial Services,1
Vision Source,108000000.0,USA,Kingwood,1,2011-04-27,2011-04-27,1991,2,Health Care,2
GeneCentric Diagnostics,25000000.0,USA,Durham,3,2012-01-20,2015-01-14,2011,1,Biotechnology,1
Inspirock,3000000.0,USA,East Palo Alto,1,2015-06-25,2015-06-25,2012,1,Travel & Tourism,1
SIRION BIOTECH,,DEU,Martinsried,2,2011-06-27,2013-03-08,2007,1,Biotechnology,3
LED Engin,11000000.0,USA,San Jose,1,2007-10-03,2007-10-03,2004,1,Semiconductors,1
ipatter.com,811268.0,GBR,Norwich,2,2009-11-29,2010-04-02,2009,1,Curated Web,0
Critical Diagnostics,2566676.0,USA,San Diego,1,2013-03-26,2013-03-26,2004,1,Biotechnology,1
Webflakes,3000000.0,USA,San Francisco,1,2013-05-08,2013-05-08,2012,1,Architecture,1
FamilyLeaf,984000.0,USA,San Francisco,2,2012-01-01,2013-05-15,2012,2,Social Media,0
nprogress,1700000.0,USA,Los Angeles,1,2011-12-01,2011-12-01,2010,0,Mobile,1
SpectraLinear,45400000.0,USA,Austin,6,2006-02-01,2010-11-23,2006,2,Semiconductors,1
Better Schools Project,235682.0,USA,San Francisco,1,2014-08-04,2014-08-04,2012,1,Education,0
Readiness Resource Group,,USA,Las Vegas,1,2013-07-21,2013-07-21,2012,1,Security,3
Unpakt,3000000.0,USA,New York,1,2013-10-02,2013-10-02,2012,1,Price Comparison,1
UPTOP,350000.0,USA,New York,1,2014-10-01,2014-10-01,2014,1,Bitcoin,0
ITKeyMedia,20000.0,POL,Warsaw,1,2015-01-01,2015-01-01,2012,1,Digital Media,0
CrossChx,20000000.0,USA,Columbus,2,2013-04-04,2015-04-13,2012,1,Software,1
Manpacks,500000.0,USA,Providence,1,2011-08-01,2011-08-01,2010,1,E-Commerce,0
Gridline Communications,200000000.0,USA,Frisco,1,2008-09-10,2008-09-10,2012,0,Web Hosting,2
Emerging Threats,2400000.0,USA,Lafayette,3,2012-11-21,2014-05-29,2003,2,Security,1
Blisby,300000.0,THA,Bangkok,1,2015-04-09,2015-04-09,2013,1,Consumer Goods,0
Saucey,4500000.0,USA,Los Angeles,1,2015-09-01,2015-09-01,2013,1,Content Delivery,1
NailSnaps,300000.0,USA,Los Angeles,1,2014-01-01,2014-01-01,2013,1,Beauty,0
Express Mobile Plus,,USA,Faribault,1,2014-09-19,2014-09-19,2005,1,Mobile,3
FilterEasy,5010000.0,USA,Raleigh,4,2014-02-10,2015-12-02,2012,1,E-Commerce,1
Yunzhilian Network Science and Technology Co. ltd,1000000.0,USA,San Francisco,2,2013-10-01,2014-03-01,2012,1,Mobile,0
Nano Precision Medical,2000000.0,USA,Emeryville,1,2014-03-24,2014-03-24,2009,1,Biotechnology,1
Ocean Executive,93808.0,CAN,Bridgewater,1,2014-07-01,2014-07-01,2014,1,Business Services,0
PAK,37500.0,USA,Austin,1,2010-10-19,2010-10-19,2012,1,Internet,0
Tins.ly,25000.0,USA,Colorado Springs,1,2011-11-01,2011-11-01,2010,1,Software,0
Aevena,50000.0,USA,San Francisco,1,2015-02-01,2015-02-01,2015,1,Robotics,0
TheFriendMail,,USA,San Francisco,1,2014-05-03,2014-05-03,2010,1,Email,3
Dynamic Social Network Analysis,50000.0,SGP,Singapore,1,2010-01-01,2010-01-01,2011,1,Curated Web,0
Local Orbit,,USA,San Francisco,1,2012-10-09,2012-10-09,2012,1,Software,3
Proofpoint,79000000.0,USA,Sunnyvale,5,2003-10-14,2008-02-26,2002,2,Enterprise Software,1
Tower Vision,300000000.0,IND,Chennai,1,2008-02-01,2008-02-01,2012,1,Mobile,2
Silecs,37570000.0,FIN,Espoo,4,2004-09-22,2011-05-18,2000,1,Semiconductors,1
EyeLock,3000000.0,USA,New York,1,2014-05-19,2014-05-19,2006,1,Information Technology,1
NOMERMAIL.RU,100000.0,RUS,Moscow,1,2012-02-10,2012-02-10,2012,0,Email,0
Cequence Energy,120000000.0,CAN,Calgary,1,2013-10-04,2013-10-04,2008,1,Clean Technology,2
Longboard Media,6000000.0,USA,San Francisco,1,2011-09-15,2011-09-15,2008,2,Advertising,1
WorkFusion,22300000.0,USA,New York,3,2011-01-01,2014-04-28,2010,1,Software,1
LDR Holding,34722866.0,USA,Austin,2,2007-09-13,2012-05-08,2004,2,Health and Wellness,1
Cortrium,1674801.38667086,DNK,Copenhagen,2,2014-08-26,2015-11-11,2014,1,Health Care,1
Sanlorenzo,21214500.0,BRA,Itá,1,2011-08-11,2011-08-11,2012,1,Manufacturing,1
kites.io,75000.0,USA,Santa Monica,1,2013-07-31,2013-07-31,2013,1,E-Commerce,0
Ornikar,,USA,San Francisco,1,2014-11-17,2014-11-17,2012,1,Software,3
TechElite Inc,20000.0,USA,San Francisco,2,2014-01-15,2014-11-15,2013,1,Collaboration,0
Adyen,266000000.0,NLD,Amsterdam,3,2011-08-22,2015-09-30,2006,1,Payments,2
Malcovery Security,4575400.0,USA,Bethel Park,2,2013-02-21,2014-04-15,2012,2,Security,1
Wildfang,2925000.0,USA,Portland,3,2013-03-11,2015-10-27,2011,1,Fashion,1
Field Dailies,50000.0,USA,Cincinnati,1,2014-05-01,2014-05-01,2012,1,SaaS,0
Perfect Gym Solutions S.A.,30000.0,POL,Warszawa,1,2014-12-24,2014-12-24,2014,1,Fitness,0
SmartTurn,5000000.0,USA,San Francisco,1,2008-01-23,2008-01-23,2004,0,Advertising,1
BioAegis Therapeutics,14732412.0,USA,Morristown,3,2013-02-08,2015-04-15,2011,1,Biotechnology,1
Cinemoz,1500000.0,LBN,Beirut,1,2014-12-07,2014-12-07,2011,1,Advertising,1
Napkin Labs,2401536.0,USA,Boulder,3,2010-12-01,2012-01-09,2009,2,Collaboration,1
iGlue,1100000.0,HUN,Budapest,3,2007-09-01,2010-05-25,2007,0,Search,1
Circle Biologics,716666.0,USA,Minneapolis,2,2012-08-09,2012-10-25,2012,1,Biotechnology,0
Browntape,60000.0,IND,Goa,3,2013-08-01,2014-04-04,2012,1,E-Commerce,0
Leukocare,,DEU,Martinsried,1,2015-07-22,2015-07-22,2003,1,Biotechnology,3
mondebarras.fr,2378808.0,USA,San Francisco,1,2015-01-29,2015-01-29,2012,1,Ad Targeting,1
Cytora,,GBR,Cambridge,1,2015-10-01,2015-10-01,2013,1,Software,3
CashBet,2445000.0,USA,Oakland,2,2012-01-01,2014-02-03,2012,1,Application Platforms,1
The Treeline Company,170000.0,USA,San Francisco,2,2014-12-01,2015-04-01,2015,1,Software,0
rankdesk,435413.0,GBR,London,1,2009-01-05,2009-01-05,2009,1,Algorithms,0
Panaseer Limited,2250000.0,GBR,London,2,2014-12-01,2015-11-12,2014,1,Information Services,1
Nemo TV,20500000.0,LVA,Riga,5,2012-06-01,2015-01-10,2011,1,Big Data,1
"Powur, PBC",750000.0,USA,Del Mar,1,2015-03-08,2015-03-08,2015,0,Clean Energy,0
LegalJump,25000.0,USA,North Miami Beach,1,2013-03-01,2013-03-01,2010,0,Legal,0
Codetoki,,SGP,Singapore,1,2014-03-28,2014-03-28,2013,1,Education,3
EnerLume Energy Management,150000.0,USA,Hamden,1,2009-05-19,2009-05-19,1986,2,Hardware + Software,0
POP,6000000.0,USA,San Francisco,1,2015-11-09,2015-11-09,2014,0,Software,1
nContact Surgical,51954587.0,USA,Morrisville,6,2009-04-09,2014-11-13,2005,2,Health Care,1
McAfee,,USA,Santa Clara,1,1991-09-30,1991-09-30,1987,2,Security,3
Metabolic Solutions Development,46543600.0,USA,Kalamazoo,4,2010-10-24,2015-09-25,2012,1,Biotechnology,1
Mobile Theory,,USA,Venice,1,2010-05-15,2010-05-15,2010,2,Ad Targeting,3
Glassdoor,161500000.0,USA,Mill Valley,6,2008-03-27,2015-01-06,2007,1,Career Management,2
NeuroVasx,8500000.0,USA,Maple Grove,1,2007-12-10,2007-12-10,2012,1,Manufacturing,1
Paubox,30000.0,USA,San Francisco,1,2015-05-25,2015-05-25,2014,1,Cloud Security,0
CrowdOptic,10028500.0,USA,San Francisco,11,2010-07-26,2015-08-13,2010,1,Analytics,1
Challenge Online,4500000.0,USA,Austin,1,2008-07-10,2008-07-10,2012,0,Games,1
Mind on Games,12273.0,USA,San Francisco,1,2012-08-01,2012-08-01,2012,1,Game,0
GSOUND,1050000.0,USA,Palo Alto,2,2012-10-01,2013-07-09,2012,1,Android,1
Axxia Pharmaceuticals,300000.0,USA,Bel Air,1,2012-03-01,2012-03-01,2012,1,Health and Wellness,0
MakeLeaps,600000.0,JPN,Tokyo,2,2014-08-28,2014-09-19,2009,1,Information Technology,0
Broadlink,300000.0,CHN,Hangzhou,1,2013-12-01,2013-12-01,2012,1,Manufacturing,0
Trustpilot,116900000.0,DNK,Copenhagen,5,2011-01-28,2015-05-28,2007,1,Curated Web,2
Everyday.me,,USA,San Francisco,1,2012-08-01,2012-08-01,2012,1,Curated Web,3
Sphere Medical Holding,65864387.0,GBR,Cambridge,5,2006-04-04,2015-04-30,2012,1,Hardware + Software,1
TrustYou,5000000.0,USA,Dallas,1,2011-09-20,2011-09-20,2008,1,Hospitality,1
CSPSource.com,,USA,San Francisco,1,1999-12-02,1999-12-02,2012,0,Software,3
Banyan Technology,950000.0,USA,Elyria,2,2006-12-01,2007-03-01,2012,1,Software,0
Shinrai,99661.1520829181,HUN,San Francisco,1,2014-12-01,2014-12-01,2014,1,Bitcoin,0
Loogares.Com,65000.0,CHL,Santiago,2,2011-12-16,2012-03-01,2012,1,Curated Web,0
PlayJam,5000000.0,GBR,London,1,2011-10-25,2011-10-25,1999,1,Games,1
Loxam Holding,86928000.0,FRA,Paris,1,2011-07-02,2011-07-02,2012,1,E-Commerce,1
Prevtec microbia,7200000.0,CAN,Montréal,2,2015-03-12,2015-09-21,2012,1,Biotechnology,1
TrackAbout,925249.0,USA,Coal Township,1,2015-05-04,2015-05-04,2000,1,Software,0
Toro Energy,20000000.0,AUS,San Francisco,1,2014-11-03,2014-11-03,2012,2,Clean Technology,1
ZapHour,55000.0,USA,Portland,1,2011-01-14,2011-01-14,2010,1,Software,0
Covertix,4246029.0,USA,San Francisco,4,2010-09-01,2014-07-22,2007,1,Data Security,1
Activaero,22585000.0,DEU,Gemünden,2,2009-11-20,2011-02-16,2004,2,Biotechnology,1
Officevibe,1000000.0,CAN,Montréal,1,2015-04-01,2015-04-01,2014,1,B2B,0
Nobel Hygiene,11500000.0,IND,Mumbai,1,2013-03-08,2013-03-08,2001,1,E-Commerce,1
District Delivery,680000.0,USA,Washington,1,2014-07-14,2014-07-14,2010,1,Transportation,0
FilmRise,25000000.0,USA,Brooklyn,1,2015-10-25,2015-10-25,2013,1,Film,1
